original_title,overview,genre names,keywords
the chronicles of narnia: prince caspian,incredible adventures lion witch wardrobe peter edmund lucy susan pevensie return narnia aid prince life threatened evil king miraz help colorful cast characters including trufflehunter badger nikabrik dwarf pevensie clan embarks incredible quest ensure narnia returned rightful heir,adventure family fantasy,based novel fictional brother sister relationship lion human wretch leap time matter life death faith uncle narnia fantasy world
the avengers,unexpected enemy emerges threatens global safety security nick fury director international peacekeeping agency shield team pull world brink disaster spanning globe daring recruitment effort begins,science fiction action adventure,york shield marvel comic superhero based comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe
pirates of the caribbean: on stranger tides,captain jack sparrow crosses paths woman past hes love shes ruthless con artist whos using fabled fountain youth forces aboard queen annes revenge ship formidable pirate blackbeard jack unexpected adventure doesnt fear blackbeard woman past,adventure action fantasy,sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d
men in black 3,agents smith tommy lee jones backin time seen inexplicable 15 black aliens perplexes wry reticent partner ks life fate planet stake agent travel time discovers secrets universe told secrets reveal themselves teams agent josh brolin save partner agency future humankind,action comedy science fiction,time travel time machine alien fictional government agency seeing future changing history
the hobbit: the battle of the five armies,immediately events desolation smaug bilbo dwarves try defend erebors mountain treasure claim ruined laketown elves mirkwood meanwhile army orcs led azog defiler marching erebor fueled rise dark lord sauron dwarves elves unite hope middleearth falls bilbos hands,action adventure fantasy,corruption elves dwarves orcs middleearth tolkien hobbit dragon battle unlikely friendship epic battle sword sorcery
the amazing spider-man,peter parker outcast schooler abandoned parents boy leaving raised uncle ben aunt teenagers peter trying figure person peter discovers mysterious briefcase belonged father begins quest understand parents disappearance â leading directly oscorp lab dr curt connors fathers former partner spiderman set collision course connors alter ego lizard peter lifealtering choices powers shape destiny hero,action adventure fantasy,loss father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger
robin hood,soldier robin happens dying robert loxley promises return mans sword family nottingham assumes roberts identity romances widow marion draws ire towns sheriff king johns henchman godfrey,action adventure,robin hood archer knight sherwood forest bow arrow middle ages medieval king england
the hobbit: the desolation of smaug,dwarves bilbo gandalf successfully escaped misty mountains bilbo gained ring continue journey gold dragon smaug,adventure fantasy,elves dwarves orcs hobbit dragon wizard sword sorcery
the golden compass,overhearing shocking secret precocious orphan lyra belacqua trades carefree existence roaming halls jordan college otherworldly adventure north unaware destiny,adventure fantasy,england compass experiment lordship uncle polar bear orphan animal based adult novel
king kong,1933 york overly ambitious movie producer coerces cast hired ship crew travel mysterious skull island encounter kong giant ape immediately smitten leading lady,adventure drama action,film business screenplay business film film producer exotic island monster indigenous ship dinosaur
titanic,84 101yearold woman named rose dewitt bukater tells story granddaughter lizzy calvert brock lovett lewis bodine bobby buell anatoly mikailavich keldysh life set april 10th 1912 ship called titanic rose boards departing ship upperclass passengers mother ruth dewitt bukater fiancã© caledon hockley meanwhile drifter artist named jack dawson friend fabrizio de rossi win thirdclass tickets ship game explains story departure death titanic voyage april 15th 1912 220 morning,drama romance thriller,shipwreck iceberg ship panic titanic ocean liner epic rich woman poor love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s
captain america: civil war,following events age ultron collective governments world pass act designed regulate superhuman activity polarizes opinion amongst avengers causing factions iron captain america causes epic battle former allies,adventure action science fiction,civil war war marvel comic sequel superhero based comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d
battleship,mankind beams radio signal space reply comes âplanet gâ form alien crafts splash waters hawaii lieutenant alex hopper weapons officer assigned uss john paul jones international naval coalition worlds hope survival engage hostile alien force unimaginable strength taking invaders hopper try live potential brother fiancã©es father admiral shane expect,thriller action adventure science fiction,fight navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs staff crash landing jet fighter pilot navy lieutenant permission marry uss john paul jones based board game aftercreditsstinger mighty mo uss missouri
jurassic world,twentytwo events jurassic park isla nublar features functioning dinosaur theme park jurassic world originally envisioned john hammond,action adventure science fiction thriller,monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror
skyfall,bonds assignment goes gravely wrong agents world exposed mi6 attacked forcing relocate agency events cause authority position challenged gareth mallory chairman intelligence security committee mi6 compromised inside left ally trust bond 007 takes shadows aided field agent eve following trail mysterious silva lethal hidden motives reveal themselves,action adventure thriller,spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating police officer macao
spider-man 2,peter parker major identity crisis burned spiderman decides shelve superhero alter ego leaves city suffering wake carnage left evil doc ock meantime parker cant act feelings mary jane watson girl hes loved childhood,action adventure fantasy,dual identity love ones life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain
iron man 3,tony starks world torn apart formidable terrorist called mandarin starts odyssey rebuilding retribution,action adventure science fiction,terrorist war terror tennessee malibu marvel comic superhero based comic book tony stark iron aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis
alice in wonderland,alice unpretentious individual 19yearold betrothed dunce english nobleman engagement party escapes crowd consider marriage falls hole garden spotting unusual rabbit arriving strange surreal called underland world resembles nightmares child filled talking animals villainous queens knights frumious bandersnatches alice realizes reason â conquer horrific jabberwocky restore rightful queen throne,family fantasy adventure,based novel fictional queen fantasy alice wonderland fantasy world 3d
x-men: the last stand,cure found treat mutations lines drawn amongst xmen brotherhood band powerful mutants organized xaviers former ally magneto,adventure action science fiction thriller,mutant marvel comic based comic book superhuman beast cyclops aftercreditsstinger
monsters university,look relationship mike sulley days monsters university â werent necessarily friends,animation family,monster dormitory games animation friend university scary aftercreditsstinger
transformers: revenge of the fallen,sam witwicky leaves autobots normal life mind filled cryptic symbols decepticons target dragged transformers war,science fiction action adventure,egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger
transformers: age of extinction,humanity picks pieces following conclusion transformers dark moon autobots decepticons vanished planet powerful ingenious businessman scientists attempt learn past transformer incursions push boundaries technology beyond control ancient powerful transformer menace sets earth crosshairs,science fiction action adventure,sequel alien transformers giant robot robot imax transforming robot
oz: the great and powerful,oscar diggs smalltime circus illusionist conartist whisked kansas land oz inhabitants assume hes wizard prophecy save oz clutches evil,fantasy adventure family,circus witch magic hope illusion lost magic trick wizard 3d
the amazing spider-man 2,peter parker life busy taking bad guys spiderman spending time person loves gwen stacy school graduation quickly peter forgotten promise gwenâs father protect staying promise change peter villain electro emerges friend harry osborn returns peter uncovers clues past,action adventure fantasy,obsession marvel comic sequel based comic book electrocution medical experiment electricity super powers
tron: legacy,sam flynn techsavvy daring son kevin flynn investigates fathers disappearance pulled grid help mysterious program named quorra sam quests stop evil dictator clu crossing real world,adventure action science fiction,artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy
cars 2,star race car lightning mcqueen pal mater head overseas compete world grand prix race road championship rocky mater caught intriguing adventure own international espionage,animation family adventure comedy,car race sequel comedy anthropomorphism friend duringcreditsstinger
green lantern,centuries powerful force warriors called green lantern corps sworn intergalactic green lantern wears ring grants superpowers enemy called parallax threatens destroy balance power universe fate fate earth lie hands human recruited,adventure action thriller science fiction,dc comics transformation superhero alien alien infection magical object protector super powers origin 3d
toy story 3,woody buzz rest andys toys havent played andy college gang themselves accidentally left nefarious day care center toys band escape return home andy,animation family comedy,hostage college toy barbie animation escape day care teddy bear duringcreditsstinger toy comes life personification inanimate objects coming life toy story
terminator salvation,grown postapocalyptic 2018 john connor lead resistance humans increasingly dominating militaristic robots marcus wright appears existence confuses mission connor tries determine wright future past hes friend foe,action science fiction thriller,saving world artificial intelligence prophecy san francisco cyborg killer robot gas station postapocalyptic dystopia army firearm wartime los angeles
furious 7,deckard shaw seeks revenge dominic toretto family comatose brother,action,car race speed revenge suspense car race muscle car
world war z,life former united nations investigator gerry lane family content suddenly world plagued mysterious infection human populations rampaging mindless zombies barely escaping chaos lane persuaded mission investigate disease follows perilous trek world lane brave horrific dangers odds answers human civilization falls,action drama horror science fiction thriller,dystopia apocalypse zombie nuclear weapons multiple perspectives zombie apocalypse
x-men: days of future past,ultimate xmen ensemble fights war survival species time periods join forces selves epic battle change past â save future,action adventure fantasy science fiction,1970s mutant time travel marvel comic based comic book superhuman storm beast aftercreditsstinger changing past future
star trek into darkness,crew enterprise called home unstoppable force terror own organization detonated fleet stands leaving world crisis personal score settle captain kirk leads manhunt warzone world capture weapon mass destruction heroes propelled epic chess game life death love challenged friendships torn apart sacrifices family kirk left crew,action adventure science fiction,spacecraft friendship sequel futuristic space alien imax space opera terrorist bombing 3d
jack the giant slayer,story ancient war reignited farmhand unwittingly gateway world fearsome race giants unleashed earth time centuries giants strive reclaim land lost forcing jack battle life stop fighting kingdom people love brave princess comes unstoppable warriors existed legendâand chance legend,action family fantasy,based fairy tale giant
the great gatsby,adaptation scott fitzgeralds islandset novel midwesterner nick carraway lured lavish world neighbor jay gatsby soon carraway cracks gatsbys nouveau riche existence obsession madness tragedy await,drama romance,based novel infidelity obsession hope 3d
prince of persia: the sands of time,rogue prince reluctantly joins forces mysterious princess race dark forces safeguard ancient dagger capable releasing sands time â gift gods reverse time allow possessor rule world,adventure fantasy action romance,persia sandstorm brother brother armageddon regent based video game
pacific rim,legions monstrous creatures kaiju started rising sea war millions lives consume humanitys resources combat giant kaiju special type weapon devised massive robots called jaegers controlled simultaneously pilots minds locked neural bridge jaegers proving nearly defenseless relentless kaiju verge defeat forces defending mankind choice unlikely heroesâa washedup former pilot charlie hunnam untested trainee rinko kikuchiâwho teamed drive legendary seemingly obsolete jaeger past stand mankinds hope mounting apocalypse,action science fiction adventure,dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d
transformers: dark of the moon,sam witwicky takes tenuous steps adulthood remaining reluctant human ally autobotleader optimus prime film centers space race ussr usa suggesting hidden transformers role remains planets dangerous secrets,action science fiction adventure,moon spacecraft traitor bodyguard alien planet based cartoon transformers giant robot sabotage word domination commando duringcreditsstinger
indiana jones and the kingdom of the crystal skull,set cold war soviets â led swordwielding irina spalko â search crystal skull supernatural powers related mystical lost city gold captured escaping indy coerced head peru behest friend â indys colleague â professor oxley captured knowledge skulls whereabouts,adventure action,saving world riddle whip treasure mexico city leather jacket machinegun alien phenomenons maya civilization peru treasure hunt nuclear explosion refrigerator archaeologist indiana jones archeologyâ
the good dinosaur,epic journey world dinosaurs apatosaurus named arlo makes unlikely human friend,adventure animation family,tyrannosaurus rex friends alternate history dinosaur fear storm nature human journey
brave,brave set mystical scottish highlands mã©rida princess kingdom ruled king fergus queen elinor unruly daughter accomplished archer mã©rida day defies sacred custom land inadvertently brings turmoil kingdom attempt set mã©rida seeks eccentric wise woman granted illfated wish figuring mã©ridaâs quest â serving comic relief â kingdomâs lords enormous lord macguffin surly lord macintosh disagreeable lord dingwall,animation adventure comedy family action fantasy,scotland rebel bravery kingdom archer wish bear scot rebellious daughter animal archery ruins aftercreditsstinger peace offering woman director courage 3d
star trek beyond,uss enterprise crew explores furthest reaches uncharted space encounter mysterious enemy federation stands test,action adventure science fiction,sequel stranded hatred space opera
wall�e,wallâ·e robot left earth overrun garbage humans fled outer space 700 continued try clean mess developed humanlike qualities ship arrives sleek type robot wallâ·e hes finally found friend stows ship leaves,animation family,romantic comedy
rush hour 3,attempted assassination ambassador han inspector lee detective carter action head paris protect french woman knowledge triads secret leaders lee holds secret meetings united nations authority personal struggles chinese criminal mastermind named kenji reveals lees longlostbrother,action comedy crime thriller,ambassador
2012,dr adrian helmsley worldwide geophysical team investigating effect earth radiation unprecedented solar storms learns earths core heating warns president thomas wilson crust earth becoming unstable proper preparations saving fraction worlds population entire race doomed meanwhile writer jackson curtis stumbles information worlds leaders race build arks escape impending cataclysm curtis struggles save family meanwhile volcanic eruptions earthquakes unprecedented strength wreak havoc world,action adventure science fiction,civilization natural disaster world disaster apocalypse destruction volcanic eruption mayan ark solar destruction mankind
a christmas carol,miser ebenezer scrooge awakened christmas eve spirits reveal own miserable existence opportunities wasted youth current cruelties dire fate awaits change scrooge faced own story growing bitterness meanness decide own future hold death redemption,animation drama,holiday based novel victorian england money christmas eve scrooge christmas carol ghost lesson charles dickens christmas
jupiter ascending,universe human genetic material precious commodity impoverished earth woman key strategic maneuvers internal strife powerful dynastyâ¦,science fiction fantasy action adventure,jupiter space woman director 3d interspecies romance
the legend of tarzan,tarzan acclimated life london called former home jungle investigate activities mining encampment,action adventure,africa feral child tarzan jungle animal attack
"the chronicles of narnia: the lion, the witch and the wardrobe",siblings lucy edmund susan peter step magical wardrobe land narnia discover charming peaceful kingdom plunged eternal winter evil white witch jadis aided wise magnificent lion aslan children lead narnia spectacular climactic battle free witchs glacial powers forever,adventure family fantasy,saving world witch based novel brother sister relationship self sacrifice winter cupboard beaver lion fairytale figure battle narnia fantasy world duringcreditsstinger
x-men: apocalypse,reemergence worlds mutant worlddestroyer apocalypse xmen unite defeat extinction level plan,science fiction,mutant supernatural powers marvel comic superhero based comic book superhuman apocalypse superhero team world domination aftercreditsstinger 1980s
the dark knight,batman raises stakes war crime help lt jim gordon district attorney harvey dent batman sets dismantle remaining criminal organizations plague streets partnership proves effective soon themselves prey reign chaos unleashed rising criminal mastermind terrified citizens gotham joker,drama action crime thriller,dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based comic book tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman
up,carl fredricksen spent entire life dreaming exploring globe experiencing life fullest age 78 life passed twist fate persistent 8year wilderness explorer named russell lease life,animation comedy family adventure,age difference central south america balloon animation floating air duringcreditsstinger exploring
monsters vs aliens,susan murphy unwittingly clobbered meteor outer space gunk wedding day mysteriously grows 49feet11inches military jumps action captures susan secreting covert government compound renamed ginormica placed confinement ragtag monsters,animation family adventure science fiction,alien giant robot duringcreditsstinger
iron man,held captive afghan cave billionaire engineer tony stark creates unique weaponized suit armor fight evil,action science fiction adventure,middle east arms dealer malibu marvel comic superhero based comic book tony stark iron aftercreditsstinger marvel cinematic universe counter terrorism agent coulson
hugo,hugo orphan boy living walls train station 1930s paris learned fix clocks gadgets father uncle keeping train station clocks running left connects dead father automaton mechanical doesnt special key hugo unlock secret believes contains adventures meets shopkeeper george melies train station adventureseeking goddaughter hugo surprising connection father automaton discovers unlocks memories buried inside regarding past,adventure drama family,library clock film director key toy boy love orphan robot automaton hiding filmmaking leg brace doberman 3d
wild wild west,legless southern inventor dr arliss loveless plans rekindle civil war assassinating president grant stop gunfighter james west masterofdisguise inventor artemus gordon team thwart loveless plans,action adventure comedy science fiction western,steampunk based tv series steam locomotive drag
the mummy: tomb of the dragon emperor,archaeologist rick oconnell travels china pitting emperor 2000yearold han dynasty whos returned dead pursue quest world domination time oconnell enlists help wife son quash socalled dragon emperor abuse supernatural power,adventure action fantasy,nan
suicide squad,dc comics comes suicide squad antihero team incarcerated supervillains act deniable assets united government undertaking highrisk black ops missions exchange commuted prison sentences,action adventure crime fantasy science fiction,dc comics shared universe anti hero secret mission villain superhero supervillain dc extended universe
evan almighty,god contacts congressman evan baxter tells build ark preparation flood,fantasy comedy family,father son relationship daily life married couple support father marriage faith baustelle rescue animal nature duringcreditsstinger noahs ark
edge of tomorrow,major bill cage officer seen day combat unceremoniously demoted dropped combat cage killed minutes managing alpha alien awakens beginning day forced fight die physical contact alien thrown time loop,action science fiction,deja vu time warp restart dystopia war alien military officer soldier alien invasion exoskeleton
waterworld,futuristic world polar ice caps melted earth liquid planet beautiful barmaid rescues mutant seafarer floating island prison escape charge enola sail aboard ship trio soon target menacing pirate covets map dryland â tattooed enolas,adventure action,ocean tattoo mutant water dystopia doomsday
g.i. joe: the rise of cobra,egyptian desert deep below polar ice caps elite gi joe team nextgeneration spy military equipment fight corrupt arms dealer destro growing threat mysterious cobra organization prevent plunging world chaos,adventure action thriller science fiction,terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra
inside out,growing bumpy road exception riley uprooted midwest life father starts job san francisco riley guided emotions joy fear anger disgust sadness emotions live headquarters control center inside rileys mind help advise everyday life riley emotions struggle adjust life san francisco turmoil ensues headquarters joy rileys main emotion tries positive emotions conflict navigate city house school,drama comedy animation family,dream cartoon imaginary friend animation family moving kids unicorn duringcreditsstinger 3d emotions
the jungle book,threat tiger shere khan forces flee jungle mancub named mowgli embarks journey self discovery help panther bagheera free spirited bear baloo,family adventure drama fantasy,based novel snake wolf elephant tiger feral child panther remake bear jungle talking animal orphan animal talking animals
iron man 2,world aware dual life armored superhero iron billionaire inventor tony stark pressure government press public share technology military unwilling invention stark pepper potts james rhodey rhodes forge alliances â confront powerful enemies,adventure action science fiction,malibu marvel comic superhero based comic book revenge aftercreditsstinger marvel cinematic universe
snow white and the huntsman,evil queen marries king performs violent coup king murdered daughter snow white captive decade grown snow white clutches queen obtain immortality evil queen heart snow white snow escapes castle queen sends huntsman dark forest,adventure fantasy drama,queen magic fairy tale immortality forest deception woman eternal youth snow white evil queen evil stepmother imprisoned sorceress
maleficent,untold story disneys iconic villain 1959 classic sleeping beauty beautiful purehearted woman maleficent idyllic life growing peaceable forest kingdom day invading army threatens harmony land maleficent rises lands fiercest protector ultimately suffers ruthless betrayal â act begins heart stone bent revenge maleficent epic battle invading kings successor result curse newborn infant aurora child grows maleficent realizes aurora holds key peace kingdom maleficents true happiness,fantasy adventure action family romance,fairy tale villain sleeping beauty dark fantasy based fairy tale adaptation retelling literary adaptation 3d
dawn of the planet of the apes,scientists san francisco struggle stay alive aftermath plague wiping humanity caesar tries maintain dominance community intelligent apes,science fiction action drama thriller,leader colony postapocalyptic dystopia forest sequel woods ape scientist monkey medical research animal attack plague 3d
the lovers,lovers epic romance time travel adventure film helmed roland joffã© story ajey jhankar film sweeping tale impossible love set backdrop anglomaratha war time periods continents centred characters â british officer 18th century colonial india indian woman falls deeply love american presentday marine biologist wife,action adventure science fiction romance,nan
47 ronin,based original 1941 movie japan ancient japanâs enduring tale epic 3d fantasyadventure 47 ronin born keanu reeves leads cast kai outcast joins oishi hiroyuki sanada leader 47 outcast samurai seek vengeance treacherous overlord killed master banished restore honor homeland warriors embark quest challenges series trials destroy ordinary warriors,drama action adventure fantasy,japan suicide samurai based true story samurai sword ronin shogun half breed 3d
captain america: the winter soldier,cataclysmic events york avengers steve rogers aka captain america living quietly washington dc trying adjust modern world shield colleague comes attack steve embroiled web intrigue threatens world risk joining forces black widow captain america struggles expose everwidening conspiracy fighting professional assassins sent silence scope villainous plot revealed captain america black widow enlist help ally falcon soon themselves unexpected formidable enemyâthe winter soldier,action adventure science fiction,washington dc future shield marvel comic superhero based comic book captain america aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d political thriller
shrek forever after,bored domesticated shrek pacts dealmaker rumpelstiltskin feeling real ogre hes duped sent twisted version awayâwhere rumpelstiltskin king ogres hunted fiona metâhe sets restore world reclaim true love,comedy adventure fantasy animation family,ogre 3d
tomorrowland,bound shared destiny bright optimistic teen bursting scientific curiosity former boygenius inventor jaded disillusionment embark dangerfilled mission unearth secrets enigmatic time space exists collective memory tomorrowland,adventure family mystery science fiction,inventor apocalypse destiny imax dreamer futuristic car futuristic city
big hero 6,special bond develops plussized inflatable robot baymax prodigy hiro hamada team friends form band hightech heroes,adventure family animation action comedy,brother brother relationship hero talent revenge friend dimension robot boy genius hate aftercreditsstinger moral dilemma 3d teen superheroes dead brother
wreck-it ralph,wreckit ralph 9foottall 643pound villain arcade video game named fixit felix jr games titular hero fixes buildings ralph destroys prove guy villain ralph escapes game lands heros duty firstperson shooter helps games hero battle alien invaders enters sugar rush kart racing game set tracks candies cookies sweets ralph meets vanellope von schweetz learned game faced dire threat affect entire arcade ralph inadvertently started,family animation comedy adventure,support product placement bullying racing arcade medal self esteem curiosity precocious child aftercreditsstinger duringcreditsstinger person shooter glitch carefree video gamer qbert interrupted wedding social reject
the polar express,doubting boy takes extraordinary train ride north pole embarks journey selfdiscovery wonder life fades believe,adventure animation family fantasy,santa claus nerd faith gift bell beard north pole chute trestle ticket christmas
independence day: resurgence,coming using recovered alien technology nations earth collaborated immense defense program protect planet prepare aliensâ advanced unprecedented force ingenuity brave women bring world brink extinction,action adventure science fiction,alternate history alien invasion
how to train your dragon,son viking leader cusp manhood shy hiccup horrendous haddock iii rite passage kill dragon prove warrior mettle feared dragon realizes destroy instead befriends beast â names toothless â chagrin warrior father,fantasy adventure animation family,flying blacksmith arena island night ship training village forest viking friendship ignorance flight nest dragon battle combat warrior
terminator 3: rise of the machines,10 john connor saved earth judgment day hes living radar steering using skynet trace encounters tx robotic assassin finish t1000 started connors former nemesis terminator aid nowadult connor â¦ promised,action thriller science fiction,saving world artificial intelligence vs machine cyborg killer robot sun glasses leather jacket nanotechnology rocket launcher firemen veterinarian fire engine dystopia psychiatrist
guardians of the galaxy,light earth 26 abducted peter quill prime target manhunt discovering orb ronan accuser,action science fiction adventure,marvel comic spaceship space outer space orphan adventurer aftercreditsstinger duringcreditsstinger marvel cinematic universe
interstellar,interstellar chronicles adventures explorers newly discovered wormhole surpass limitations human space travel conquer vast distances involved interstellar voyage,adventure drama science fiction,saving world artificial intelligence father son relationship single parent nasa expedition wormhole space travel famine black hole dystopia race time quantum mechanics spaceship space rescue family relationships farmhouse robot astronaut scientist father daughter relationship single father farmer space station imax astrophysics zero gravity courage time paradox relativity
inception,cobb skilled thief commits corporate espionage infiltrating subconscious targets offered chance regain life payment task considered impossible inception implantation persons idea targets subconscious,action thriller science fiction mystery adventure,loss lover dream kidnapping sleep subconsciousness heist redemption female hero
シン・ゴジラ,mind evangelion comes hit larger life massive gilled monster emerges deep tears city government scrambles save citizens ragtag team volunteers cuts web red tape uncover monsters weakness mysterious ties foreign superpower time catastrophe befall world evolve eyes,action adventure drama horror science fiction,monster godzilla giant monster destruction kaiju toyko
the hobbit: an unexpected journey,bilbo baggins hobbit enjoying quiet life swept epic quest gandalf grey thirteen dwarves seek reclaim mountain home smaug dragon,adventure fantasy action,riddle elves dwarves orcs middleearth tolkien hobbit mountains wizard journey ring goblin courage giant tunnel underground lake buried treasure climbing tree invisibility ancient gnomes
the fast and the furious,domenic toretto los angeles street racer suspected masterminding series bigrig hijackings undercover cop brian oconner infiltrates torettos iconoclastic crew falls torettos sister choose gang lapd,action crime thriller,street gang car race undercover autotuning los angeles car automobile racing aftercreditsstinger duringcreditsstinger
the curious case of benjamin button,tells story benjamin button starts aging backwards bizarre consequences,fantasy drama thriller mystery romance,diary navy funeral tea travel hospital
x-men: first class,charles xavier erik lensherr names professor magneto discovering powers time archenemies closest friends mutants familiar stop threat world,action science fiction adventure,cia mutant mine marvel comic superhero based comic book superhuman historical fiction nuclear war cuban missile crisis world war iii 1960s
the hunger games: mockingjay - part 2,nation panem scale war katniss confronts president snow final showdown teamed closest friends â including gale finnick peeta â katniss goes mission unit district 13 risk lives stage assassination attempt president snow increasingly obsessed destroying mortal traps enemies moral choices await katniss challenge arena faced hunger games,action adventure science fiction,revolution strong woman dystopia game death 3d based adult novel
the sorcerer's apprentice,balthazar blake master sorcerer modernday manhattan trying defend city archnemesis maxim horvath balthazar cant recruits dave stutler seemingly average guy demonstrates hidden potential reluctant protã©gã© sorcerer unwilling accomplice crash course art science magic unlikely partners stop forces darkness,fantasy adventure action comedy drama,witch fire wolf fountain magic book castle water apprentice training merlin love mission sorcerer dragon aftercreditsstinger apprendista morgana
poseidon,packed cruise ship traveling atlantic hit overturned massive wave compelling passengers begin dramatic fight lives,adventure action drama thriller,eve fire drowning cataclysm loss father atlantic ocean ball selfabandonment shipwreck giant wave blackout ship daughter single escape capsized ship
alice through the looking glass,sequel tim burtons alice wonderland alice kingsleigh returns underland adventure saving mad hatter,fantasy,based novel clock queen sequel alice wonderland dark fantasy mad hatter 3d
